id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,Male,72,1,33,1,< 1 Year,Yes,43352,130,206,0
2,Female,49,1,34,0,< 1 Year,No,37588,26,25,1
3,Female,53,1,9,1,1-2 Year,Yes,44527,44,256,0
4,Male,67,1,17,1,1-2 Year,Yes,32491,1,211,1
5,Male,54,1,41,1,< 1 Year,Yes,33588,130,151,1
6,Male,65,1,1,1,> 2 Years,Yes,28754,11,211,1
7,Male,31,0,40,1,1-2 Year,Yes,27046,158,81,1
8,Female,44,1,5,0,< 1 Year,Yes,40412,34,109,1
9,Female,76,1,30,1,> 2 Years,Yes,51443,61,138,0
10,Female,36,1,11,0,> 2 Years,No,23043,91,281,0
11,Male,48,1,28,0,> 2 Years,No,49096,107,186,1
12,Female,63,1,38,1,> 2 Years,No,38235,103,91,1
13,Female,26,1,17,1,< 1 Year,Yes,29771,2,64,0
14,Male,55,1,23,0,< 1 Year,Yes,27912,64,172,1
15,Male,34,1,18,1,1-2 Year,Yes,51772,94,152,1
16,Male,36,1,37,1,> 2 Years,Yes,50378,131,242,0
17,Male,61,1,27,0,1-2 Year,Yes,31172,127,152,1
18,Male,21,1,25,1,< 1 Year,Yes,24026,158,20,1
19,Male,65,1,5,1,1-2 Year,Yes,47708,101,32,0
20,Male,74,0,19,0,< 1 Year,Yes,45415,122,162,1
21,Female,28,1,27,0,< 1 Year,Yes,37427,150,52,1
22,Male,39,1,13,0,1-2 Year,No,48727,82,255,1
23,Male,21,1,7,1,1-2 Year,No,58217,62,38,1
24,Male,34,1,26,0,< 1 Year,Yes,29102,109,270,1
25,Male,25,0,14,0,< 1 Year,Yes,51480,54,152,0
26,Female,63,1,27,1,1-2 Year,No,25303,113,200,0
27,Male,76,1,8,1,> 2 Years,No,39501,38,264,1
28,Male,51,1,31,0,1-2 Year,Yes,33356,30,134,1
29,Male,28,1,35,1,> 2 Years,Yes,31709,130,234,1
30,Male,48,1,27,1,< 1 Year,No,22055,20,171,1
31,Female,28,1,4,1,< 1 Year,Yes,52781,68,280,1
32,Male,73,0,42,0,> 2 Years,No,22149,112,67,1
33,Male,71,1,4,1,1-2 Year,No,33608,9,6,0
34,Female,73,1,18,1,1-2 Year,No,48396,142,66,1
35,Female,55,1,23,0,> 2 Years,Yes,57916,11,144,1
36,Female,70,1,32,1,1-2 Year,Yes,26846,10,62,1
37,Male,38,1,12,0,< 1 Year,Yes,21804,57,233,1
38,Male,63,1,20,1,> 2 Years,Yes,32641,6,213,1
39,Female,47,1,47,1,< 1 Year,Yes,33785,145,146,0
40,Male,27,1,45,1,> 2 Years,No,46593,13,251,0
41,Male,43,1,12,0,1-2 Year,Yes,40922,59,113,1
42,Male,44,1,8,1,1-2 Year,Yes,48974,47,80,1
43,Male,25,1,22,0,1-2 Year,Yes,20759,124,146,1
44,Female,56,1,27,1,1-2 Year,Yes,23860,120,270,0
45,Male,25,1,41,1,> 2 Years,No,34859,4,154,1
46,Female,77,1,41,0,> 2 Years,No,38025,26,70,1
47,Male,25,1,17,0,< 1 Year,No,43575,32,267,1
48,Male,72,1,32,1,> 2 Years,Yes,50727,139,2,0
49,Male,51,1,33,1,< 1 Year,Yes,38209,118,281,1
50,Male,76,0,31,1,< 1 Year,No,55953,52,250,0
51,Female,33,1,6,0,> 2 Years,Yes,20561,157,250,1
52,Female,58,1,39,1,1-2 Year,Yes,20237,130,168,1
53,Female,30,1,9,0,< 1 Year,No,25978,49,9,1
54,Female,40,0,42,1,1-2 Year,Yes,31325,113,140,0
55,Male,29,1,32,1,< 1 Year,Yes,43851,149,42,1
56,Female,44,1,36,1,1-2 Year,Yes,22207,17,124,1
57,Male,39,1,16,0,> 2 Years,No,25557,109,181,1
58,Male,49,0,12,1,> 2 Years,Yes,31664,96,158,1
59,Male,74,1,41,0,< 1 Year,Yes,41387,131,70,0
60,Male,78,1,3,1,< 1 Year,Yes,39033,42,226,0
61,Male,66,1,27,1,< 1 Year,Yes,57481,116,60,1
62,Male,44,1,27,0,< 1 Year,Yes,25578,95,121,1
63,Female,19,1,9,0,> 2 Years,Yes,28262,159,55,1
64,Male,62,1,17,0,> 2 Years,Yes,47492,126,255,1
65,Male,50,0,46,1,> 2 Years,Yes,50123,129,59,1
66,Male,43,0,5,1,> 2 Years,Yes,58383,92,36,0
67,Male,45,1,26,1,> 2 Years,Yes,42559,87,58,0
68,Female,36,1,21,0,< 1 Year,Yes,52265,116,107,1
69,Male,60,1,1,1,< 1 Year,No,41326,69,93,1
70,Female,22,1,1,1,1-2 Year,Yes,53230,1,93,0
71,Female,50,1,35,1,> 2 Years,Yes,26390,80,14,0
72,Male,37,1,9,1,1-2 Year,Yes,32416,36,202,1
73,Male,47,1,23,0,1-2 Year,Yes,25829,101,258,1
74,Female,62,1,38,1,< 1 Year,No,42860,80,199,1
75,Female,25,1,41,1,> 2 Years,No,25194,61,120,1
76,Female,55,1,4,1,> 2 Years,Yes,36339,76,291,1
77,Female,78,1,19,1,1-2 Year,Yes,22840,4,220,1
78,Male,34,1,37,0,> 2 Years,Yes,52819,119,168,1
79,Male,61,1,5,1,1-2 Year,Yes,27179,49,178,1
80,Male,18,0,28,0,> 2 Years,No,50765,41,154,0
81,Female,20,1,46,1,1-2 Year,Yes,52556,121,143,1
82,Female,63,1,42,0,1-2 Year,Yes,46760,21,215,1
83,Male,43,1,48,0,1-2 Year,No,59847,40,138,0
